[55.7483;49.213]	line 534501 479
[55.7513;49.2131]	line 534461 480
[55.7503;49.2116]	line 534499 481
[55.7555;49.2008]	line 534500 482
[55.8063;49.2079]	line 534443 483
[55.805;49.1945]	line 534373 484
[55.8039;49.1892]	line 534372 485
[55.8041;49.1879]	line 534374 486
[55.8158;49.1828]	line 534283 487
[55.8066;49.1831]	line 534281 488
[55.8052;49.184]	line 534282 489
[55.802;49.1868]	line 534375 490
[55.798;49.1908]	line 534376 491
[55.7977;49.1923]	line 534377 492
[55.7968;49.1751]	line 534378 493
[55.7907;49.1568]	line 534457 494
[55.7891;49.1526]	line 534456 495
[55.7891;49.1513]	line 534338 496
[55.7908;49.1471]	line 534269 497
[55.7837;49.1522]	line 534455 498
[55.7891;49.1335]	line 534268 499
[55.8668;49.2325]	line 534398 500
[55.8708;49.2327]	line 534400 501
[55.8792;49.0558]	line 534347 502
[55.8991;48.9632]	line 583193 503
[55.9836;48.8163]	line 534732 504
[55.9832;48.7947]	line 534731 505
[56.0148;48.8317]	line 534733 506
[55.8601;49.2278]	line 534391 507
[55.8613;49.2256]	line 534392 508
[55.8617;49.2191]	line 534389 509
[55.8658;49.2197]	line 534401 510
[55.8652;49.2247]	line 534397 511
[55.8683;49.2241]	line 534403 512
[55.872;49.2236]	line 534396 513
[55.885;49.1945]	line 534453 514
[55.8884;49.1977]	line 534452 515
[55.917;49.1504]	line 534463 516
[55.7379;49.2682]	line 534399 517
[55.7497;49.2488]	line 534542 518
[55.753;49.2399]	line 534594 519
[55.7586;49.2391]	line 534591 520
[55.7574;49.2355]	line 534592 521
[55.7558;49.2324]	line 534599 522
[55.7624;49.2217]	line 534462 523
[55.7628;49.2217]	line 534588 524
[55.7734;49.2305]	line 534590 525
[55.7626;49.1773]	line 534437 526
[55.761;49.1787]	line 534436 527
[55.7537;49.1783]	line 534475 528
[55.7535;49.1873]	line 534479 529
[55.7488;49.192]	line 534478 530
[55.77;49.2419]	line 534587 531
[55.7674;49.2337]	line 534586 532
[55.7673;49.2294]	line 534584 533
[55.7666;49.2279]	line 534585 534
[55.7717;49.2307]	line 534589 535
[55.7761;49.2253]	line 534471 536
[55.778;49.2305]	line 534467 537
[55.7776;49.2352]	line 534465 538
[55.7803;49.2347]	line 534469 539
[55.782;49.2249]	line 534468 540
[55.7869;49.2239]	line 534473 541
[55.788;49.2251]	line 534474 542
[55.7675;49.2508]	line 534583 543
[55.7431;49.1423]	line 534355 544
[55.7432;49.14]	line 534356 545
[55.7316;49.1184]	line 534358 546
[55.7338;49.137]	line 534360 547
[55.7367;49.1463]	line 534353 548
[55.7237;49.1724]	line 534266 549
[55.7145;49.184]	line 534379 550
[55.7183;49.3511]	line 583194 551
[55.7496;49.2288]	line 583109 552
[55.7475;49.227]	line 534504 553
[55.7474;49.2225]	line 534582 554
[55.7444;49.2198]	line 534580 555
[55.7439;49.2213]	line 534503 556
[55.7425;49.2235]	line 534577 557
[55.7976;49.2451]	line 534430 558
[55.7937;49.2462]	line 534428 559
[55.7803;49.2347]	line 534470 560
[55.8158;49.1828]	line 534284 561
[55.833;49.1548]	line 534551 562
[55.837;49.1585]	line 534563 563
[55.8381;49.1579]	line 534564 564
[55.8423;49.156]	line 534565 565
[55.8381;49.1878]	line 534352 566
[55.8502;49.2056]	line 534351 567
[55.8611;49.2174]	line 534390 568
[55.8634;49.2173]	line 534402 569
[55.8659;49.2175]	line 534395 570
[55.7454;49.3924]	line 583088 571
[55.7409;49.38]	line 583087 572
[55.7384;49.3707]	line 583151 573
[55.7453;49.2744]	line 534547 574
[55.7481;49.2717]	line 534544 575
[55.7462;49.2669]	line 534545 576
[55.746;49.2643]	line 534546 577
[55.6535;49.2821]	line 583154 578
[55.651;49.3049]	line 583170 579
[55.4923;49.3007]	line 583082 580
[55.8258;49.509]	line 583134 581
[55.8233;49.5133]	line 583135 582
[55.7501;49.6218]	line 583080 583
[55.7562;49.6416]	line 583150 584
[55.7517;49.6491]	line 583075 585
[55.7486;49.653]	line 583198 586
[55.7519;49.6516]	line 583158 587
[55.7535;49.653]	line 583085 588
[55.7566;49.6589]	line 583093 589
[55.7574;49.65]	line 583104 590
[55.7625;49.649]	line 583187 591
[55.7635;49.646]	line 583157 592
[55.8251;49.6938]	line 583199 593
[55.8096;49.3796]	line 583140 594
[55.8041;49.3889]	line 583197 595
[55.7442;49.3856]	line 583086 596
[55.8015;49.2738]	line 534429 597
[55.7995;49.2531]	line 534280 598
[55.7961;49.248]	line 534279 599
[55.7819;49.2366]	line 534464 600
[55.7886;49.2226]	line 534466 601
